comment_content,comment_rating,comment_likes,,,,,,
"How would humanity react if we found out we are not alone in the universe? Not only that, if we knew that alien civilization was on its way to earth to invade our planet? How would we react? How would YOU react?

The Three-Body Problem is a unique sci-fi novel set in China. It takes place over several time periods from the 1960's to present time. The story begins during the Chinese Cultural Revolution in the late 1960's, and focuses on how the intellectual society was hard-pressed and assaulted. Those who were not killed were humiliated and sent to labor camps to be 'reformed'. This part of the story follows the life of Ye Wenjie. An astrophysicist and one of the intellectuals sent to be reformed. Ye Wenjie's experiences during this time are sad and lonely, but lead her to play a key role in the future of earth.

Part II of the story flashes forward 40 years to introduce a new character. Wang Miao is a Nanomaterials researcher who suddenly finds his life turned upside down. He is thrust into a society with elite scientists and top military personnel. Wang is not sure what is happening, but soon finds out he is to play a pivotal role in the future of how the human civilization will try to survive the impending alien invasion.



Liu Cixin has developed a very impressive sci-fi novel that takes root from actual events from Chinese history. His overwhelming knowledge of science and human nature are probably the best I have read in this genre. I would describe this as a slow burn and it may not appeal to all readers. I didn’t mind the slow pace and enjoyed reading about the science and mathematical parts in the story. Although, I will admit, it was over my head in some areas and I did feel out of my element a time or two. These sections didn’t last long, but left me wondering if I had just missed out on a vital part of the story. Luckily, that was not the case….I think.

This is the hardest book I have reviewed in a long time. I can't seem to put my experience into words the way I want to. I didn't take as many notes as usual, but that's because I was so entranced with my reading. That is probably the best way I can get my experience across. I have spoken with several people that loved it and several others that didn't, so it really comes down to personal preference. If you enjoy sci-fi then you must give this a try, and find out for yourself.

4 stars ****
Show more",4,61,,,,,,
"It was a slog to get through this acclaimed, award winning book and I wondered why it was so hard for me to read. Finally, a Chinese reader's review clarified it for me: it is like ""2001: A Space Odyssey"" if it had been written by the author of ""50 Shades of Grey"" (in the sense of ham handed awkward prose.)

True confession: I can't stand 2001 and it was written by Arthur C Clarke, a master of the craft. Both stories use characters and events to express their ideas about science and First Contact, never developing either. Most of the characters are disposable and the events are forced and unnatural in service of the idea/philosophy.

The second book in the trilogy is supposed to be breathtaking and amazing but I am not sure I care enough to attempt it.
Show more",3,63,,,,,,
"The Three-Body Problem: Particle physics, the rise and fall of civilizations, and alien contact
Originally published atFantasy Literature
The Three-Body Problem was first published in China back in 2008 and translated into English in 2014. It got a lot of attention and was put on the Hugo Award ballot this year when another author pulled out. Cixin Liu’s book has a lot going on and requires your full attention. So after listening to the audiobook during a trip to the East Coast I realized I couldn’t write a proper review, and decided to listen to it again. I’m glad I did, because this book is bursting with fascinating ideas about the rise and fall of civilizations, virtual-reality gaming, mind-blowing particle physics, the lonely life of scientists and intellectuals, the madness of the Chinese Cultural Revolution, and alien contact as well.

This book is impossible to discuss without significant spoilers, so if you are interested in it since it was put on the Hugo ballot, or you like hard-SF alien contact stories, or you just want to see what the most popular Chinese SF book is about, then read no further and get the book. It is well worth your time. A detailed discussion of the plot (with unavoidable spoilers) has been placed at the end of this review.

The Three-Body Problem is split into three main narratives:

1) The backstory of scientist Ye Wenjie, who grew up during the madness of the Cultural Revolution and saw her father killed for his scientific ideas. She ends up grudgingly working at a secret military facility in the 1970s dedicated to making alien contact, but never has trust in humanity after suffering various betrayals.

2) The modern-day story of Wang Miao, a scientist studying nano-fibers, who is dragged into an investigation of a string of mysterious suicides among prominent particle physics researchers. His tale takes up the bulk of the book, and for much of the novel both he and the reader are in the dark as to what is going on. The further he gets involved with the secretive group The Frontiers of Science, the more he realizes that there are numerous conspiracies occurring, all involving scientists, alien contact, and a mysterious game called Three Body.

3) The virtual reality game called Three Body, in which players can observe and try to influence the course of an alien civilization in a far-off world that has three suns orbiting in a non-stable configuration. Because of the suns’ irregular behavior, the planet’s civilizations must struggle to advance during brief stable eras before the suns approach or recede and usher in chaotic eras, destroying all life. To survive this, the aliens develop the ability to dehydrate and wait until the next stable era. However, these eras are so unpredictable that 180 civilizations have already been destroyed, but still they try to advance their scientific knowledge in order to solve the Three-Body Problem.

Overall, I thought The Three-Body Problem was chock full of cool ideas about science but was fairly weak in characterization, particularly the main character Wang Miao, who is a fairly passive guy who serves to move the story forward. Ye Wenjie is much more complex, and her betrayal of humanity is believable considering what she has suffered. I liked the cynical and profane cop Shi Quang best, as he continually ridicules the milque-toast concerns of Wang Miao and the other scientists who seem very quick to commit suicide when their experimental results go haywire.

The most poorly executed part of the book was the virtual reality game Three Body, as it was so unclear about who was controlling the avatars, what the purpose of the game was, who created it, and whether the human participants were actually able to affect the outcome. Moreover, it was hard to believe that anyone would like to play such an esoteric and turgid game. Perhaps these mysteries have been left there deliberately to be revealed in the later books, but it was a bit confusing and took up a lot more pages than necessary.

The last 100 pages or so from the Trisolarans’ perspective was my favorite part of the book, since it dealt with mind-blowing particle physics and multiple dimensions. It was something of an info-dump, but cleared up so many earlier plot threads that I didn’t mind. Not to mention that the Trisolarans themselves are fascinating and their motivations for invasion are fairly believable, even if I question why they need bother if they have the power to create sophons.

I thought the translation by Ken Liu, author of The Grace of Kings in his own right, was done fairly well, although it’s basically impossible to judge unless you can also read Chinese fluently and can compare with the original. The writing sounded natural and the lack of embellished language is almost certainly the style of Cixin Liu, considering his interest in particle physics and admiration for Arthur C. Clarke. I imagine it’s a pretty tough novel to translate and I think Ken Liu did it justice. Notably, the second book is being translated by Joel Martinsen, so it will be interesting to see what he brings to the story. The third book, I’ve heard, will be done by Ken Liu, but that may not be accurate.

Finally, since I listened to the audiobook narrated by Luke Daniels, I have to give him full credit for handling the Chinese names well (as far as I could tell) and also for giving distinct voices to a number of characters who really wouldn’t have stood out at all otherwise. I noticed that the narrators for the next book are also different, so both translator and narrator are not the same.

I will definitely be looking forward to the next installment, The Dark Forest, which will be available on Audible on Aug 11, 2015. I also wouldn’t mind if The Three-Body Problem wins the Hugo Award this year, but I haven’t read the other contenders.

I wanted to discuss the plot in greater detail in a way that will spoil it, so if you’re interested in that, please read on:

















Show more",4,63,,,,,,
"Brilliant and thrilling, fun and mind expanding. If this is what Chinese science fiction writers bring to the table, feed my head! This won the Hugo Award for 2015, a fitting outcome to the controversies surrounding the controversies around their selection process.

This tale deals with the classic issue of first contact with an alien civilization. The plot evolves as a mystery that engages a nanotech scientist Wang. He starts to encounter strange phenomena such as a progression of numbers appearing on his camera film. It suggests to him some form of a countdown, and he gets warnings to stop his research in creating super-strong materials. He also gets disturbed by suspicious deaths of prominent scientists and clues that link to the activities of an elusive group concerned with stopping human environmental devastation. He makes an unlikely partnership with a tough, uneducated police lieutenant whose pragmatism and humor makes for a great balance to all the scientists in the story. Wang’s investigations lead him to an online computer game called “The Three-Body Problem”, which engages players in a virtual world where scientific prediction of the classic conundrum is of critical importance to a civilization’s survival in a situation where a planet’s orbit in a three-star configuration is disastrously unstable.

Wang’s story interweaves with historical events experienced by Ye Wenije, a female astrophysicist whose academic father was killed in the Cultural Revolution and has found refuge in a secret project on a remote mountaintop base called Red Coast. There she was involved with the Chinese equivalent of the SETI project, scanning the spectra and regions of outer space for signatures of extraterrestrial intelligence. She is especially gifted in her innovations in how to amplify signals and, most significantly, sending messages back.

Saying anything more will spoil the fun. I will say the plot evolves less around the aliens themselves than how Earth’s societies and peoples would react to knowledge of an alien civilization, both in terms of perceived benefits and projected threats. I was fascinated by Liu’s exploration of how different factions would respond emotionally and spiritually and in terms of actions to defend against dangers and harness any benefits for the good of all or of only a subset of the human race. We saw a bit of that in Sagan’s “Contact” and a lot more in a favorite of mine, Niven and Pournelle’s “The Mote in God’s Eye.” I look forward to the two sequels to this novel.

Liu has been quoted in interviews as saying: “Everything that I write is a clumsy imitation of Arthur C. Clarke,” That is a fair perspective and warning to those considering reading this who don’t often read science fiction. I’d say his characters are a bit more colorful and engaging than Clarke’s, though still not up to broader literary standards. In a tailpiece written for the 2014 translation of this 2006 book, Liu provides some interesting background to his interest in writing science fiction. Sputnik, the hunger for science in the recovery from the Cultural Revolution, the ferment of his mind from math and astronomy, and his personal humbling about the fragility of humanity in response to a 1975 flood and dam failures that destroyed his town and killed over 200,000 people. I appreciate the wonder and humility of these words:



Show more",5,59,,,,,,
"OH WOW!!! This is like science fiction I have never read before. Although, ultimately, the book leads toward the humans seeking alien contact, as has been done many times before, the setup here is amazing.

The majority of the novel is played in two separate worlds - sort of. Although the action takes place on Earth, in China, a lot of the story revolves around an online game that creates a new immersive universe for the user. This game is a first-player historical game where the player is dropped onto an unknown planet and is completely left to their own devices without any knowledge of what to do or what is the premise of the game. Like many of today's games, the player needs to learn as they move forward to acquire the skills of communication and the knowledge of events. However, the consequences of decisions are far more reaching than those you make on your PS5 or X-Box.

The book starts off purely as a historical novel based in China. The violence and Government control form the basis for what is to evolve. At times there is some confusion due to an abundance of characters but I urge you all to push through as it definitely becomes clearer. The only thing I found hard to ascertain was the nature of civilisation outside of China. While there are several mentions of The United Staes and Britain and discussions around their warfare abilities, there never seems to be a clear indication of their current circumstances - are they powerful nations as we know them or have the scales of power swung?

So, in closing, you are met with a realistic online game, cultural Chinese history, science way beyond our current means, attempted Alien contact, splinter groups for and against human survival, well-known historical figures of the Western world and the core Three Body Problem which may or may not be solvable. Confused? I hope so because then you will love this book and how it evolves. I just need to get onto the second volume.
Show more",5,61,,,,,,
"In the late 1960s, Ye Wenjie gets sent to the boonies to ""atone"" for all her capitalist and intellectual sins, as perceived during the Chinese Cultural Revolution. In spite of her efforts to keep her head down, she still gets accused of political betrayal, and incarcerated. Just when Ye is certain her life is over, she gets the unexpected opportunity to redeem herself, by participating in a top secret scientific mission.

40 years later, Wang Miao is a nanotechnology researcher, who gets entangled in the investigation of multiple suicides among elite theoretical scientists. Before he can properly take on his role, he suddenly starts seeing an eerie sequence of numbers on all photos that he takes. Stressed beyond belief, Wang finds unexpected relief in playing a mysterious VR game, called .



I was pleasantly surprised by everything that the story offered, starting with the initial historical setting, following with the plot and ending with the ingenious technical solutions used by the characters to overcome their... obstacles, let's say. And I for the game-play sequences, sincerely excited to see where the players' choices would lead them.

I found the story rather hard to follow. It was nowhere near linear, had some truly monotonous excerpts from official documents, and it kept going off on numerous scientific tangents. To be fair, I can now see , but during the reading experience, I would often get confused or bored, and would eventually have to take a break from the book.



my utter lack of Physics background. I went through the requisite 6 years of middle- and high school science-major curriculum, plus some moderately high level Maths in university... but I can't say I any of it. So my mind kept wandering off during many of the scientific explanations, which had me constantly re-read lengthy mathematical explanations. All this, just so I could get a half-way decent picture in my head.



the story required 110% of my attention-span, but it had me use an additional 40%. Not a state my mind is normally accustomed to, so ""calibration"" efforts took some time. Yes, once I managed to devote sufficient attention the story, it became utterly addictive, having me pick up the sequel almost immediately.



At the same time, I couldn't help but wonder:
- is everyone so much more science savvy?
- or did they just skip a lot of the technical reasoning??
- if so... what was there left to ???
- ... or am I just off base here????
So many existential questions without answer.

======================
Review of book 2:
Show more",4,60,,,,,,
"¿Te encanta la CF Hard? Enhorabuena, este libro lo disfrutas fijo.
¿Te encantan los personajes bien construidos?. Ya lo siento, aquí no pillas ni uno.
¿Y una historia original? Por aquí bien, muy bien.
¿Ritmo ágil y que engancha? Para mí no, aunque he leído opiniones de todo.

Recordemos que Liu Cixin ha ganado todo lo ganable en la CF china y que está consiguiendo adeptos a marchas forzadas en Occidente. Incluido el Hugo 2015 por este libro.

En esta novela, en tiempo actual, aparecen muertos científicos de primer orden mientras la narración da saltos desde el 2007 hasta el 1967 en plena Revolución Cultural comunista. Y la historia avanza metiendo personajes, necesarios pero sin nitidez, que nos llevan a una búsqueda de señales extraterrestres.

¿Lo mejor? Sin duda las ideas científicas, originales pero precisas, o actualmente reales o fácilmente creíbles (bueno, ejem, el sofón lo dejamos aparte, ¿vale?). Me ha encantado la imagen visual del barco en el canal (no puedo aclarar más sin hacer spoiler del horror).

Como ni los personajes ni el ritmo narrativo me han gustado le daría 5/10 ...pero la idea es tan buena y las partes de ciencia tan atractivas le subo al 7/10. Y en estrellitas cuatro porque tres me parecen poco.

Eso sí, no recomiendo este libro a no ser que te vaya el rollo Ciencia.

No me he convertido en converso del Cixin, ¡cachis!, con lo que me gusta descubrir nuevos autores que me embelesen. Liu va a ser que no entra en ese grupo.

¡Ah!, se me olvidaba : el libro acaba cortado con cuchillo. Cuelgue total. Si quieres saber más. a comprar el siguiente.
Show more",4,60,,,,,,
"The Three-Body Problem is science fiction at its best. Most science fiction doesn't even discuss any science. Here is science in all its beauty, majesty and wonder combined with human politics and history. It is a master work that I was almost afraid to read. I thought the material would be too hard to understand, but Cixin Liu has a way of explaining and expressing himself which makes it easier. The book is not just a discourse on why we try to understand the building blocks of life, but why it's important and vital to our survival.
Show more",5,66,,,,,,
"Alucinante.
Me ha encantado, aunque es un libro bastante introductorio en el que en realidad todo está por ocurrir, pero ¡Menuda introducción!.
Me ha gustado mucho la trama que plantea Cixin Liu y cómo la plantea, es una lectura que me ha mantenido absorta y enganchadísima desde el principio. Es verdad que algunas partes me han supuesto un esfuerzo extra de concentración para no perder ningún detalle, pero se entiende perfectamente y todo queda bastante claro.
Menos mal que tengo los dos libros siguientes de la trilogía y no tengo que esperar a que los publiquen porque estoy deseando saber cómo continua esta historia.
Show more",4,56,,,,,,
"Празнотата не е тъждествена с нищото. Празнотата представлява съществуване, с което изпълваш себе си.“


„Трите тела“ е страшно въздействаща и качествена научна фантастика! Впечатлен съм от майсторския начин, по който Лиу е преплел значими научни и социални теми, както и отправил критика към китайския манталитет. На пръв поглед книгата осъжда влиянието на компютърните игри и не изглежда опасна за тоталитарната власт, но при задълбочен прочит дава многопластова картина на китайските обществени проблеми... Мисля че по силата на вложените послания, китайският писател достойно се нарежда до големите братя Стругацки!

В сюжета основно се разглежда зараждането на предстоящ в бъдещето сблъсък между човечеството и по-развита чуждопланетна цивилизация и увлекателно се п��пуляризират науките, но същевременно се прокрадва и описание на зловещата културна революция в Китай. Въпреки сложните научни идеи, романът представлява съвсем разбираемо и поучително четиво за човешката същност...





„В Китай всяка по-възвишена мисъл е обречена да се сгромоляса на земята. Гравитационното поле на реалността е твърде силно.“


„Човешкото невежество недостатък ли е или предимство от гледна точка на еволюцията?“


„Светът се задвижва от балансираното взаимодействие между ин и ян. Това движение не може да се контролира, но може да се предвиди.“


„Женското мислене е различно от мъжкото, което не означава, че едното е по-висше от другото. И двете са необходими на света.“


„Най-големият ужас за псевдоучените са един друг вид хора, които трудно се хващат на въдицата: магьосниците. Повечето псевдонаучни измами са разобличавани именно от магьосници.“


„Модзъ си беше източен мислител. Чисто и просто мистик в наметало на учен. Той така и не взе резултатите от наблюденията си на сериозно и моделът му се основаваше единствено на субективни предположения. Голяма смехория!“


„Да, бях открил празнотата и сега можех да се оттегля в града. Дори насред шума на тълпите вътре в себе си щях да съм безмерно спокоен.“


„Европейската мъдрост е страшна работа. Не че сте по-умни от азиатците, просто умеете да откривате правилните пътища.“


„ Аз я забелязах случайно на компютъра на внука – каза старият философ, като вдигна мундщука на лулата си. – Младокът се пробва два-три пъти и я заряза, много сложна му била, а мен ме запали тъкмо със сложността си, със страховитата си, но естетска атмосфера, със солидната логика на създадения свят, с прецизността на детайлите и огромното количество информация, скрита под простата и изчистена повърхност.“


„Благодарение на все по-близките си отношения с Ян Уей-нин тя успя да си набави много чуждоезични философски и исторически класики, винаги под предлог, че събира научни материали. Кървавите петна по човешката история я потрисаха, а блестящите мисли на философите ѝ сочеха най-съществената и най-прикриваната част на човешката природа.“


„Отчуждението, предизвикано от вродените дефекти на човечеството; копнежът по един по-добър свят и благоговението пред по-висшата цивилизация; мечтата потомците да оцелеят в голямата война – тези три импулса доведоха до скоростното разрастване на земното трително движение. И то достигна огромни мащаби още преди да бъде забелязано.“


„Да не забравяме най-важното: технологичното развитие като цяло е зависимо от фундаменталните изследвания, а те се основават на проучванията на дълбинния строеж на материята.“
Show more",5,57,,,,,,
"Съвременната научна фантастика е рядкост на българския книжен пазар и излизането на всеки по-мащабен труд в този жанр е истинско събитие. То е двойно по-голямо, ако говорим за най-нашумелия в момента китайски фантаст Лиу Цъсин. Романът му „Трите тела“, книга първа от трилогията „Земното минало“, ще бъде по книжарниците съвсем скоро с логото на издателство „Колибри“ в превод от китайски език на Стефан Русинов.

Сред известните почитатели на трилогията са Барак Обама, Марк Зукърбърг и изненадващо, или може би не чак толкова, половината висши китайски партийни функционери. Самият Цъсин споделя в някои от интервютата си, че се е притеснявал от евентуална цензура на романа, защото той включва крайно чувствителната тема за Културната революция, проведена под егидата на Мао Дзъдун. Опасенията му обаче се оказват безпочвени и „Земното минало“ печели най-престижната китайска награда в областта на научната фантастика – отличието „Галактика“, както и видно място в библиотеките на милиони китайци.

Днес трилогията е преведена на над двадесет езика, а продажбите й надхвърлят осем милиона копия в световен мащаб. Трилогията е посветена на една от култовите за научната фантастика по цял свят теми – първи контакт с извънземна цивилизация. Обещаващото начало на това приключение, поставено в ""Трите тела"", включва преобръщането нагоре с краката на разнообразни физични закони, разнообразни късчета китайска история, която е вмъкната безкрайно плавно в наратива, световна история (на страниците на книгата се срещаме с имена като Айнщайн, Нютон, Лайбниц, поставени в крайно необичайните условия на симулирана реалност), онлайн компютърна игра, на чиято технология могат да завидят и най-известните имена от Силициевата долина, както и чудесни тактически военни маневри, необходими на земляните за справянето с бъдещото нашествие на враждебните същества от Трителната система.

Няма как да не бъдат казани и няколко думи за нея, защото тя дава наименованието на целия роман. Заглавието идва от аналитичния проблем в орбиталната механика, който касае прецизното изчисляване на движението на три тела, разположени така, че гравитацията на всяко едно от тях влияе и на трите едновременно. Прочитайки научна статия, посветена на този проблем, Лиу Цъсин си задава въпросите: ""Ами ако тези три тела всъщност представляват три слънца? Как ще се развие интелигентен живот на планета, която е част от подобна слънчева система?"". Оттук нататък структурата на романа започва малко по-малко да придобива форма.

Цялата рецензия е публикувана в , стр. 14:
Show more",5,59,,,,,,
"The Three-Body Problem exists as a vast, complex 4 dimensional object. Much of its byzantine structures are veiled behind the plane of a different reality of language, culture, and regime. As a western reader I am appreciative of the dazzling parts I can see which intersect with my space. My curiosity about the unified whole easily forgives the parts I found mildly unpleasant - Some of the dialogue is stilted and scenes contrived. These minor imperfections do not detract from the scope and crystal beauty of the Hard Science Fiction awesomeness delivered.
Show more",5,57,,,,,,
"Esta novela comienza durante la Revolución Cultural, un período de fanatismo en el que la República Popular China se convirtió esencialmente en un culto a la personalidad de Mao Zedong. El culto a Mao dominó todas las facetas de la vida de la gente, buscando borrar todos los aspectos no comunistas de la historia y la cultura chinas, a través de medios violentos si era necesario. Por supuesto, esto también significó un control estricto sobre el sistema educativo chino para impedir la enseñanza de ideas contrarrevolucionarias.

En este contexto de la Revolución Cultural, el padre de Ye Wenjie es un destacado profesor de física en la prestigiosa Universidad Tsinghua de Beijing. Está a la vanguardia de su campo, enseñando teorías fundamentales de la física moderna, como la relatividad general y la mecánica cuántica. Su aceptación de la ciencia occidental (incluido el trabajo de Einstein y Bohr) lo lleva a ser acusado de abrazar ideologías reaccionarias. Estudiantes de la Guardia Roja lo matan a golpes delante de su aterrorizada hija. La propia Ye Wenjie más tarde es perseguida y encarcelada por abrazar el pensamiento occidental. La salvan dos científicos militares que trabajan en la Costa Roja, un programa espacial ultrasecreto del gobierno chino, que reconocen las destacadas habilidades de Ye Wenjie como física.

La idea central de “El Problema de los Tres Cuerpos” se basa directamente en el clásico de ciencia ficción de Stanisław Lem de 1961, “Solaris”, que analiza si un planeta que orbita alrededor de dos soles puede sustentar la evolución de la vida. En “Solaris”, los dos soles tienen intensidades muy diferentes, lo que hace que el clima del planeta en órbita, llamado Solaris, varíe drásticamente dependiendo de cuál de los dos soles esté actualmente más cerca. Las fluctuaciones climáticas resultantes arrojan dudas sobre si el planeta tiene un clima lo suficientemente consistente como para sustentar la evolución biológica, que requiere una relativa estabilidad climática durante millones de años.

En “El Problema de los Tres Cuerpos”, Liu Cixin sube la apuesta al introducir un tercer sol en el problema. La trayectoria orbital de un planeta alrededor de tres soles plantea un complejo problema matemático que ha eludido solución durante cientos de años. En esta novela, el planeta en órbita, Trisolaris, experimenta períodos de relativa estabilidad interrumpidos por períodos de repentino caos climático.

A lo largo de su historia planetaria, Trisolaris ha pasado por cientos de períodos estables, en los que la sociedad ha alcanzado distintos niveles de desarrollo científico y tecnológico, para luego ser aniquilada por cambios climáticos repentinos. Los trisolarianos han desarrollado la capacidad de deshidratarse para sobrevivir durante estos períodos de caos, pero finalmente han determinado que la única forma en que su sociedad puede sobrevivir a largo plazo es colonizar otro planeta habitable con un clima más estable. Comparado con Trisolaris, el punto azul pálido que conocemos como La Tierra parece bastante atractivo.

Más allá de su excelente tratamiento de los principios científicos, “El Problema de los Tres Cuerpos” plantea varias cuestiones filosóficas importantes, siendo la más profunda: ¿Vale la pena salvar a la humanidad? A medida que Ye Wenjie se convierte en una de las principales científicas en busca de vida extraterrestre, sus experiencias durante la Revolución Cultural han moldeado sus puntos de vista sobre el valor de la humanidad.

Aunque “Solaris” y “El Problema de los Tres Cuerpos” comienzan esencialmente con la misma premisa, “El Problema de los Tres Cuerpos” tiene éxito en aspectos en los que “Solaris” falla. Mientras que “Solaris” cae rápidamente en la pseudociencia, “El Problema de los Tres Cuerpos” se basa en principios científicos en gran medida creíbles. Liu Cixin inyecta a la trama grandes dosis de entrelazamiento cuántico realista, teoría de la información, nanotecnología y física de partículas. Uno de los conceptos más interesantes propuestos por él es una nueva partícula subatómica llamada ""sofón"", que puede cambiar de dimensionalidad como forma de almacenar información. Más allá de las ciencias puras, Liu Cixin también maneja brillantemente cuestiones de sociología, especialmente en relación con la Revolución Cultural y su impacto en la psicología humana y las decisiones tomadas por personajes individuales.

La historia en sí se cuenta desde múltiples puntos de vista a lo largo de varias décadas. Cambios tan drásticos en la perspectiva y el marco temporal podrían desorientar a manos menos capaces, pero Liu Cixin maneja hábilmente estas transiciones, usándolas como una forma efectiva de construir una narrativa más amplia.

Esta es ciencia ficción pura, llena de largos y amorosos pasajes de exposición técnica sobre todo, desde la mecánica cuántica hasta la inteligencia artificial. Pero Liu Cixin respalda toda esa teoría retorcida con personajes empáticos y una fuerte columna vertebral de suspenso y acción. Hay mucho que preparar, y “El Problema de los Tres Cuerpos” se tambalea un poco hasta que encuentra su equilibrio. La historia comienza lentamente a pesar de sus muchos avances cronológicos, y lleva un tiempo desenredar exactamente quiénes o cuáles se supone que son los puntos focales de la trama. Sin embargo, una vez que está en funcionamiento, es apasionante.

A pesar de su atractivo universal, “El Problema de los Tres Cuerpos” se sitúa en un contexto específico, uno que la mayoría de los lectores occidentales sólo conocen de lejos. Muchos de sus puntos principales dependen del conocimiento de la historia y la cultura chinas, y si bien la traducción es clara, elegante y lírica, hay mucha exposición para analizar. Vale la pena cada gramo de esfuerzo. El bien merecido suspenso del libro gira en torno a dilemas morales que resuenan mucho más allá de su nacionalidad o incluso de su embriagadora y abstracta física. ¿En qué momento la ciencia se convierte en dogma y en qué momento ese mismo dogma se convierte en religión?

Liu Cixin no plantea esa pregunta sino que deja que se desarrolle en un drama radical que apunta a los riesgos más altos imaginables, y algunos que apenas pueden imaginarse. Si “El Problema de los Tres Cuerpos” ayuda a cerrar la brecha entre la ciencia ficción oriental y occidental, habrá cumplido un gran deber para el mundo literario. Pero como epopeya de ciencia ficción del tipo más profundo, ya ha ganado.

Reseña completa sin spoilers en mi canal de YouTube ➡ 📚
Show more",5,30,,,,,,
"Gah. Life's too short to torture myself further with this book. Adieu, overhyped book that makes me question my sanity (seriously, how are people loving this book? how?!). Adieu, flatness and boringness and sexist stuff. Adieu, adieu. This book was so painful to get through - and I was having so much cognitive dissonance about how it's Nebula-nominated and people luv-luv-luvvvv it - that I'm starting to feel crazy, like, do I actually books?! Am I sure about this science fiction thing?!

Sheesh. Let me just put this down and walk away.

FWIW, I agree with and 's reviews.
Show more",1,52,,,,,,
"‘The Three-Body Problem’ is a science fiction novel by Cixin Liu. The premise is not original but the way Liu writes is incredibly creative; he makes the tale of first contact with aliens uniquely his own. This book fascinated me in the same way that Philip K. Dick’s ‘The Minority Report’ and the film, ‘Total Recall’ based on another Philip K. Dick story does. There’s something shiny and awesome about science and technology that draws me in for a closer look. Cixin Liu’s world is approachable. It’s a world filled with academia and nerdy scientists working on ‘the next big thing.’ However this story’s roots are in the past, in late 1960s Mao Zedung’s Cultural Revolution.

One of the opening scenes is a traumatic ‘struggle session,’ where Professor Ye Zhetai is berated, publicly humiliated, and so much worse by his wife and students. Many academics and intellectuals during this time chose suicide over the gauntlet of a struggle session. One of the main characters of this novel is Ye Wenjie, daughter of Professor Ye Zhetai. She is present at her father’s ‘struggle session’ and traumatized by what happens. This and other incidents become the psychological background of a decision she will make that will affect the destiny of the human race. She becomes an astrophysicist, eventually landing at Red Coast Base, whose true goal is purposefully obfuscated.

In the story’s present time (somewhere around 2006), there is a flux of scientists committing suicide. Policemen show up at Wang Miao’s apartment to command his presence at an important meeting. Wang Miao is an important scientist in the field of nanotechnology; he's developing a special nanomaterial with superpowers. Wang Miao’s appointments for that day have already been rescheduled by the investigators. One of the policemen is Captain Shi Qiang, who is rough, tough, blustery, and rude. He has a bad reputation but he’s one of those people that can see beyond the trees to envision the entire forest, so his expertise is sought after. Shi Qiang is my favorite character. He provides relief, often humorous, from the dark, frowny, too burdened intellectuals. Shi Qiang and Wang Miao rub each other the wrong way at first, but Shi Qiang grew on Wang Miao just like he did me.

The first half of the story is excellently paced. I found myself pouring through the pages. The pacing slowed down for me when Wang Miao is introduced to the game called three-body. Some readers will not find this problematic. At about two-thirds in, I discovered the Chinese TV series based on this book at viki.com. Seeing a visual interpretation of the game sequences enhanced my interest in those sections.

It’s difficult to rate a book like this one, which has an epic quality to it. Cixin Liu is a computer engineer and the most popular writer of science fiction in China. He made me feel awe and wonder at the vastness and unknowns of the universe, and curiosity about the science and technology that propels our world today. How will humans react if contact is made with extraterrestrial life? That’s part of the question that ‘The Three-Body Problem’ takes on, possibly the main question.

There was an emotional quality that was lacking for me in the narrative, but I’m reading other reviews that say this often occurs in hard science fiction. It is mostly about science and ideas. An A+ story with B- characterization, some depth, but not enough, and the story is so good, it deserved those A+ level characters.
Show more",4,52,,,,,,
"Too hard for me (and I kind of meant that as in 'hard SF' but tbh I'm happy to accept I'm not clever enough for this). Brilliant opening set in the Cultural Revolution, after which I spent the next 100 pages failing to engage, so DNF.

One of the 'randos rec me 12 books' challenge. So far this isn't an unalloyed success, oh well.
Show more",0,52,,,,,,
"everyone points out how cold the characters are to each other and honestly i did see that but i thought it was funny. i think because i’m also kind of cold (?) so i get it. i really like the premise of the book, i did get bored around 70% but i didn’t mind. i will say the book can be really misogynistic at times. i truly enjoy the science in this book.
Show more",4,49,,,,,,
